Index,Name,BoroCD,Pop2010,Pop2013,EduPop,CD_Area,Grass,Trees,Green Space,Green Space Per Person,Vulnerable Age,Poverty,Education,Pollution,Overweight,Exercise,Asthma,Distance to Parks
16,Manhattan - 1,101,62286,58794,45969,42527495.33,0.087769,0.115881,0.203651,139.0483729,0.193044,0.070109,0.10085,11.494803,0.400111,0.827124,0.171627,12.12246
64,Manhattan - 2,102,90016,83942,71506,37720133.3,0.016751,0.117817,0.134568,56.38911857,0.219316,0.089657,0.113654,12.784824,0.388732,0.862598,0.167611,8.69995
65,Manhattan - 3,103,161969,157621,121877,46907806.95,0.058841,0.210858,0.2697,78.10775848,0.279275,0.261113,0.427275,12.110086,0.403457,0.816691,0.172808,3.522422
26,Manhattan - 4,104,103245,100905,83584,49291344.12,0.019794,0.082473,0.102267,48.82442625,0.199234,0.125097,0.154658,12.862325,0.38752,0.868114,0.166593,8.810093
5,Manhattan - 5,105,53716,49143,40944,43796776.47,0.005667,0.034414,0.040082,32.68043775,0.184768,0.118775,0.096595,15.733432,0.396626,0.859994,0.152862,5.767072
68,Manhattan - 6,106,140702,133698,108551,38705152.41,0.028171,0.165763,0.193934,53.34853113,0.233927,0.090121,0.091007,14.167512,0.411987,0.843753,0.133064,9.613704
20,Manhattan - 7,107,209084,208912,167429,53154070.6,0.058826,0.217088,0.275914,70.14382849,0.314246,0.114057,0.129529,11.796402,0.437,0.879,0.128,3.616741
69,Manhattan - 8,108,219920,212867,174183,55159855.29,0.050089,0.1689,0.218989,54.9263439,0.312813,0.067826,0.094796,12.725454,0.414,0.851,0.123,7.384714
43,Manhattan - 9,109,110193,102840,73392,41892885.54,0.084051,0.234372,0.318423,121.0572204,0.281469,0.277207,0.378869,11.027277,0.589224,0.744579,0.150597,2.719972
44,Manhattan - 10,110,115723,124091,83838,39078664.64,0.065047,0.170615,0.235662,79.58103633,0.32551,0.280181,0.376678,10.87027,0.537,0.777,0.164,4.935781
34,Manhattan - 11,111,120511,118844,80336,66148477.37,0.180577,0.156874,0.337451,185.2268244,0.346424,0.314959,0.484328,9.947839,0.661828,0.775136,0.189152,5.352042
41,Manhattan - 12,112,190020,198444,141254,77973447.23,0.086894,0.291157,0.378051,155.1307215,0.317277,0.255699,0.470082,11.839301,0.675,0.682,0.143,3.408655
35,Manhattan - 64 (Park),164,25,3,2,38310768.71,0.181345,0.536927,0.718272,1100702.099,0.08,1,1,10.842096,0,0,0,0.008949
25,Bronx - 1,201,91627,91272,52158,60400094.94,0.07716,0.114333,0.191493,126.2313006,0.393781,0.432531,0.646612,10.945517,0.706,0.656,0.188,9.27657
13,Bronx - 2,202,53754,53319,31100,61860011.49,0.061367,0.06111,0.122477,140.9463226,0.384436,0.401564,0.631897,11.148269,0.706,0.656,0.188,11.394093
3,Bronx - 3,203,79836,79140,45458,44814477.67,0.125562,0.16559,0.291153,163.4334087,0.391414,0.413457,0.607109,11.35885,0.706,0.656,0.188,6.00726
21,Bronx - 4,204,144818,143502,86830,55540340.47,0.070178,0.136172,0.206351,79.13936663,0.37574,0.3592,0.586479,12.05918,0.706,0.656,0.188,5.876398
