"FID_","FID_1","FID_1_1","BoroCD","GrassPerc","CD_Area","TreePerc","GreenPerc","Sum_POP201","VulnAge","Pop2013","PovPerc","PM2_5","EduPerc","EduPop","DistParks","OverwPerc","ExercPerc","AsthmaPerc","DistNoHwy","DistNoConn"
,0,0,311,0.037231,103176293.646000,0.098009,0.135241,183695.000000,0.348686,180041.000000,0.168711,9.791723,0.561819,129741.000000,7.872946,0.585734,0.694257,0.058579,7.931359,7.931359
,1,1,404,0.060319,65635086.633600,0.128026,0.188345,174905.000000,0.312232,170659.000000,0.218423,10.762975,0.557178,118409.000000,6.158223,0.555624,0.726248,0.078917,6.163298,6.163298
,2,2,203,0.125562,44814477.672700,0.165590,0.291153,79836.000000,0.391414,79140.000000,0.413457,11.358850,0.607109,45458.000000,6.007260,0.706000,0.656000,0.188000,5.615394,5.615394
,3,3,308,0.063932,45605543.044900,0.178346,0.242278,93329.000000,0.313846,92706.000000,0.260123,10.736503,0.385423,65022.000000,6.221597,0.607864,0.718542,0.141135,6.242173,6.242173
,4,4,105,0.005667,43796776.467100,0.034414,0.040082,53716.000000,0.184768,49143.000000,0.118775,15.733432,0.096595,40944.000000,5.767072,0.396626,0.859994,0.152862,5.772133,5.772133
,5,5,406,0.109747,82685580.007400,0.250669,0.360416,113943.000000,0.338476,113452.000000,0.097160,10.165342,0.251402,88082.000000,7.173608,0.506570,0.758585,0.068158,6.041300,6.041300
,6,6,313,0.137451,88148969.783700,0.126226,0.263677,103072.000000,0.402708,92942.000000,0.269017,9.349296,0.441013,68923.000000,6.575030,0.600912,0.664832,0.071425,4.990838,4.990838
,7,7,312,0.064277,99853523.828700,0.154567,0.218844,194846.000000,0.438402,194719.000000,0.310935,10.241053,0.530774,110921.000000,8.896377,0.554222,0.623252,0.063454,8.909206,8.909206
,8,8,307,0.132844,104136255.271000,0.154464,0.287309,122786.000000,0.306403,123041.000000,0.260774,10.523739,0.541992,84099.000000,7.128717,0.498232,0.647436,0.073340,7.098586,7.098586
,9,9,310,0.126658,111031899.652000,0.177825,0.304484,125046.000000,0.339754,133415.000000,0.160244,9.845865,0.420603,95370.000000,6.076436,0.578254,0.714904,0.055796,4.830383,4.830383
,10,10,314,0.062646,82179254.671100,0.215081,0.277727,158086.000000,0.364137,154626.000000,0.224418,10.329413,0.422454,100605.000000,9.965254,0.544349,0.739265,0.103361,9.852416,9.852416
,11,11,209,0.142152,114235600.785000,0.169275,0.311427,172284.000000,0.368502,173994.000000,0.290234,10.698483,0.527557,110443.000000,6.967431,0.683145,0.681711,0.149909,6.989600,6.989600
,12,12,202,0.061367,61860011.490500,0.061110,0.122477,53754.000000,0.384436,53319.000000,0.401564,11.148269,0.631897,31100.000000,11.394093,0.706000,0.656000,0.188000,10.523196,10.523196
,13,13,309,0.050898,45326551.137300,0.151201,0.202100,100343.000000,0.350507,101862.000000,0.231362,10.655417,0.437319,66464.000000,6.192115,0.552250,0.794550,0.132600,6.258765,6.258765
,14,14,355,0.197767,26132579.219800,0.553075,0.750842,1345.000000,0.294423,1488.000000,0.018817,9.870232,0.161290,1209.000000,0.976929,0.549701,0.797913,0.132192,0.415460,0.415460
,15,15,101,0.087769,42527495.330200,0.115881,0.203651,62286.000000,0.193044,58794.000000,0.070109,11.494803,0.100850,45969.000000,12.122460,0.400111,0.827124,0.171627,11.740532,11.740532
,16,16,409,0.097278,107150375.840000,0.176551,0.273829,141994.000000,0.331760,146980.000000,0.147020,9.645590,0.475818,96808.000000,7.687868,0.656468,0.754780,0.113771,7.572796,7.572796
,17,17,315,0.077728,131647216.354000,0.170312,0.248041,158196.000000,0.374902,156420.000000,0.152832,9.512505,0.414494,110899.000000,7.119051,0.602000,0.651000,0.075000,6.649175,6.649175
,18,18,318,0.208223,235764715.483000,0.181656,0.389879,192799.000000,0.359887,203352.000000,0.113414,9.383655,0.382505,134304.000000,5.992574,0.682119,0.611597,0.117201,5.770634,5.770634
,19,19,107,0.058826,53154070.598800,0.217088,0.275914,209084.000000,0.314246,208912.000000,0.114057,11.796402,0.129529,167429.000000,3.616741,0.437000,0.879000,0.128000,3.399547,3.399547
,20,20,204,0.070178,55540340.471300,0.136172,0.206351,144818.000000,0.375740,143502.000000,0.359200,12.059180,0.586479,86830.000000,5.876398,0.706000,0.656000,0.188000,5.097460,5.097460
,21,21,301,0.048526,131781133.280000,0.086369,0.134896,173083.000000,0.323139,173637.000000,0.300085,11.497287,0.401241,114340.000000,8.753891,0.532505,0.752802,0.098779,8.394089,8.394089
,22,22,304,0.106149,56668715.302500,0.141630,0.247780,112634.000000,0.328826,120032.000000,0.304318,10.738733,0.622536,73533.000000,5.872162,0.618302,0.723855,0.137144,6.079062,6.079062
,23,23,480,0.141517,32722466.813000,0.044165,0.185683,0.000000,0.000000,0.000000,0.000000,10.092847,0.000000,0.000000,27.479311,0.522142,0.760285,0.088857,27.254081,27.254081
,24,24,201,0.077160,60400094.941800,0.114333,0.191493,91627.000000,0.393781,91272.000000,0.432531,10.945517,0.646612,52158.000000,9.276570,0.706000,0.656000,0.188000,7.975852,7.549805
,25,25,104,0.019794,49291344.115000,0.082473,0.102267,103245.000000,0.199234,100905.000000,0.125097,12.862325,0.154658,83584.000000,8.810093,0.387520,0.868114,0.166593,8.835711,8.835711
,26,26,316,0.091087,51766599.113300,0.142652,0.233740,86970.000000,0.393101,86290.000000,0.368072,10.668423,0.557807,52009.000000,5.231228,0.613779,0.712980,0.141162,5.228720,5.228720
,27,27,317,0.086422,93792186.876100,0.143429,0.229852,156989.000000,0.352183,159085.000000,0.164999,10.383002,0.474260,106705.000000,5.981591,0.561361,0.781448,0.130118,5.951518,5.951518
,28,28,483,0.284658,191559318.976000,0.022245,0.306904,0.000000,0.000000,0.000000,0.000000,9.935751,0.000000,0.000000,29.306688,0.598000,0.756000,0.070000,27.658514,27.658514
,29,29,412,0.149151,267332722.397000,0.172046,0.321198,223396.000000,0.358497,227559.000000,0.160362,9.779967,0.455257,151356.000000,6.381451,0.597970,0.756883,0.070486,6.380461,6.380461
,30,30,408,0.184442,207578671.821000,0.312042,0.496485,152767.000000,0.343483,148698.000000,0.155052,9.521794,0.329480,104853.000000,7.168214,0.538282,0.755948,0.073463,7.023879,7.023879
,31,31,403,0.077677,82993707.671700,0.165053,0.242730,171081.000000,0.320579,166670.000000,0.200029,10.235931,0.571719,113755.000000,8.579776,0.556000,0.726000,0.079000,8.606903,8.606903
,32,32,410,0.184071,171377895.657000,0.140668,0.324739,123191.000000,0.347054,131962.000000,0.115040,9.409939,0.527292,90301.000000,7.290788,0.654480,0.755042,0.112120,7.186896,7.186896
,33,33,111,0.180577,66148477.370100,0.156874,0.337451,120511.000000,0.346424,118844.000000,0.314959,9.947839,0.484328,80336.000000,5.352042,0.661828,0.775136,0.189152,3.198827,3.200441
,34,34,164,0.181345,38310768.712600,0.536927,0.718272,25.000000,0.080000,3.000000,1.000000,10.842096,1.000000,2.000000,0.008949,0.000000,0.000000,0.000000,0.011452,0.011452
,35,35,226,0.238392,50583672.135100,0.629341,0.867733,39.000000,0.410256,16.000000,0.000000,9.281067,1.000000,16.000000,0.742842,0.607431,0.807514,0.157514,0.301274,0.301274
,36,36,206,0.086031,42921673.951400,0.130432,0.216463,83613.000000,0.383720,77960.000000,0.452924,11.663557,0.605945,43834.000000,6.003671,0.710257,0.673941,0.193777,4.644774,4.644774
,37,37,205,0.072770,38309904.859900,0.137159,0.209930,126920.000000,0.364780,124165.000000,0.408118,12.783390,0.593736,73605.000000,5.313493,0.707716,0.663232,0.190329,5.090663,5.090663
,38,38,207,0.082614,53294482.993300,0.171965,0.254579,140277.000000,0.354519,135341.000000,0.311095,11.691168,0.567125,84036.000000,4.171988,0.711586,0.720399,0.203685,4.185062,4.185062
,39,39,212,0.177279,154909241.572000,0.223438,0.400718,151879.000000,0.374455,154489.000000,0.192447,9.756186,0.460248,98349.000000,6.860362,0.696151,0.749193,0.144396,6.899772,6.899772
,40,40,112,0.086894,77973447.231100,0.291157,0.378051,190020.000000,0.317277,198444.000000,0.255699,11.839301,0.470082,141254.000000,3.408655,0.675000,0.682000,0.143000,2.409145,2.409145
,41,41,208,0.130413,92045203.288300,0.382998,0.513412,101742.000000,0.378132,96587.000000,0.170654,10.169851,0.349756,70732.000000,4.552564,0.607923,0.804480,0.166326,3.959079,3.959079
,42,42,109,0.084051,41892885.541900,0.234372,0.318423,110193.000000,0.281469,102840.000000,0.277207,11.027277,0.378869,73392.000000,2.719972,0.589224,0.744579,0.150597,2.409542,2.409542
,43,43,110,0.065047,39078664.644500,0.170615,0.235662,115723.000000,0.325510,124091.000000,0.280181,10.870270,0.376678,83838.000000,4.935781,0.537000,0.777000,0.164000,4.520712,4.520712
,44,44,501,0.186954,376963045.038000,0.259374,0.446329,175756.000000,0.360676,170377.000000,0.195595,9.367282,0.422494,110463.000000,7.013304,0.626149,0.771220,0.114145,6.854474,6.854474
,45,45,411,0.198184,261007384.213000,0.308249,0.506433,118661.000000,0.358930,121464.000000,0.079307,9.288128,0.314420,89673.000000,5.763411,0.480957,0.747854,0.073244,5.802123,5.802123
,46,46,413,0.217290,350415325.521000,0.194348,0.411639,189456.000000,0.358389,199996.000000,0.085426,9.267655,0.374523,138966.000000,8.958588,0.589301,0.772002,0.072837,8.961251,8.961251
,47,47,481,0.249657,48084230.772300,0.175277,0.424934,56.000000,0.017857,29.000000,0.000000,9.631648,0.547945,73.000000,2.862690,0.435613,0.716825,0.065105,2.110777,2.110777
,48,48,414,0.224379,195797593.584000,0.102284,0.326663,114961.000000,0.400222,112014.000000,0.208554,8.930867,0.444719,73525.000000,7.695266,0.719000,0.804000,0.138000,5.968386,5.968386
,49,49,401,0.113190,171536957.216000,0.117812,0.231003,191105.000000,0.266047,175231.000000,0.178570,10.168298,0.401189,136402.000000,12.562291,0.512717,0.778548,0.107853,12.410984,12.410984
,50,50,402,0.158407,139894053.643000,0.085075,0.243482,111516.000000,0.278067,107598.000000,0.133004,11.347566,0.387829,81198.000000,6.729044,0.516923,0.765571,0.090376,6.505459,6.505459
,51,51,305,0.152420,155395590.663000,0.137421,0.289841,181213.000000,0.381733,177821.000000,0.334279,9.980901,0.600553,105601.000000,6.356665,0.616645,0.650620,0.144250,6.198597,6.198597
,52,52,405,0.213920,210364584.319000,0.176055,0.389976,168376.000000,0.337714,166179.000000,0.145926,10.001210,0.503257,115899.000000,4.175667,0.518441,0.750747,0.070805,4.149094,4.149094
,53,53,482,0.122368,24494796.722300,0.769726,0.892095,1264.000000,0.299050,1358.000000,0.111929,8.943580,0.279569,1116.000000,0.642258,0.506000,0.759000,0.068000,0.643230,0.643230
,54,54,211,0.135763,100301692.540000,0.178605,0.314368,113985.000000,0.366434,114910.000000,0.189008,10.224428,0.485596,80120.000000,11.905385,0.688954,0.713984,0.146369,11.277300,11.277300
,55,55,227,0.189331,31210104.836300,0.585799,0.775130,1351.000000,0.347890,1233.000000,0.192214,10.354407,0.460992,846.000000,1.195621,0.711056,0.688584,0.194208,0.964341,0.964341
,56,56,228,0.364457,91841541.710900,0.418495,0.782953,512.000000,0.367187,150.000000,0.000000,8.423791,0.414893,94.000000,2.307227,0.682174,0.685325,0.147244,2.061578,2.061578
,57,57,303,0.078694,79460858.534100,0.181746,0.260440,153194.000000,0.343623,152612.000000,0.311830,10.696797,0.458536,97412.000000,6.427689,0.594479,0.741148,0.132242,6.424594,6.424594
,58,58,210,0.211863,179676884.487000,0.145156,0.357020,119843.000000,0.373980,123420.000000,0.135051,9.644971,0.440698,89154.000000,7.565904,0.682900,0.695000,0.144100,7.413663,7.413663
,59,59,407,0.185676,328432210.311000,0.194243,0.379919,245124.000000,0.336250,242846.000000,0.147628,9.620574,0.462325,182313.000000,7.929961,0.369549,0.693138,0.055602,7.513378,7.513378
,60,60,484,0.463498,127575367.684000,0.118245,0.581744,17.000000,0.352941,15.000000,0.000000,8.480510,0.600000,15.000000,5.094060,0.718539,0.803635,0.137821,4.865464,4.865464
,61,61,502,0.321760,593169363.760000,0.284617,0.606378,132359.000000,0.361547,130180.000000,0.092633,9.036475,0.401875,93397.000000,10.347070,0.634622,0.791797,0.130485,9.159732,9.159732
,62,62,356,0.508483,133607573.743000,0.107807,0.616291,1480.000000,0.364189,1797.000000,0.119087,8.507797,0.395768,1276.000000,4.988764,0.694148,0.598232,0.117125,3.971733,3.971733
,63,63,102,0.016751,37720133.297100,0.117817,0.134568,90016.000000,0.219316,83942.000000,0.089657,12.784824,0.113654,71506.000000,8.699950,0.388732,0.862598,0.167611,8.598530,8.598530
,64,64,103,0.058841,46907806.947400,0.210858,0.269700,161969.000000,0.279275,157621.000000,0.261113,12.110086,0.427275,121877.000000,3.522422,0.403457,0.816691,0.172808,3.756597,3.756597
,65,65,302,0.054267,79325030.271500,0.179572,0.233840,98986.000000,0.259572,100566.000000,0.176282,10.832252,0.211662,77959.000000,8.240447,0.448080,0.797138,0.097087,6.397989,6.397989
,66,66,306,0.046810,85496476.063000,0.151354,0.198165,105948.000000,0.274011,112177.000000,0.114640,10.714534,0.197014,83659.000000,7.098755,0.426000,0.808000,0.091000,6.883877,6.883877
,67,67,106,0.028171,38705152.408100,0.165763,0.193934,140702.000000,0.233927,133698.000000,0.090121,14.167512,0.091007,108551.000000,9.613704,0.411987,0.843753,0.133064,8.296984,8.296984
,68,68,108,0.050089,55159855.288800,0.168900,0.218989,219920.000000,0.312813,212867.000000,0.067826,12.725454,0.094796,174183.000000,7.384714,0.414000,0.851000,0.123000,6.503640,6.503640
