FID,BoroCode,Boro,County,Code,Name, Area , TotalPop ,TreePer,GrassPer,GreenPer,AgePerc, TreeArea , GrassArea , GreenArea ,GreenPerPP,PplAge,PplPov,PplEdu,PovPerc,EduPerc,Asthma,Bike,Exer30,Overweight,Rec7,Diabetes,PM2_5
0,3,Brooklyn,47,BK43,Midwood,35799637.98,52835,0.213275,0.058286,0.271561,0.377325,7635195,2086625,9721820,39.49323365,19936,11432,17933,0.216371,0.339415,0.063,0.085,0.623,0.443,0.294,0.177,9.961757
1,3,Brooklyn,47,BK75,Bedford,32629833.39,70713,0.165505,0.080415,0.245921,0.33141,5400413,2623950,8024363,37.10703831,23435,24539,35014,0.347022,0.495156,0.142,0.14,0.717,0.389,0.336,0.174,10.804049
2,2,Bronx,5,BX40,Fordham South,6307283.407,28262,0.0825,0.018228,0.100729,0.31813,520355,114975,635330,4.068183427,8991,12986,18096,0.459486,0.640294,0.188,0.088,0.656,0.294,0.267,0.164,12.91109
3,3,Brooklyn,47,BK88,Borough Park,54005019.09,106357,0.14957,0.054836,0.204406,0.417922,8077549,2961428,11038977,27.84422276,44449,37667,64467,0.354156,0.606137,0.063,0.085,0.623,0.443,0.294,0.177,10.25766
4,3,Brooklyn,47,BK96,Rugby - Remsen Village,32706946.25,55326,0.123732,0.066821,0.190553,0.32726,4046900,2185524,6232424,39.50265698,18106,10002,26721,0.180782,0.482973,0.13,0.094,0.816,0.464,0.391,0.102,10.509811
5,4,Queens,81,QN52,East Flushing,29454380.1,26982,0.222959,0.189759,0.412719,0.285671,6567141,5589245,12156386,207.1471722,7708,3884,12406,0.143947,0.459788,0.054,0.085,0.689,0.641,0.315,0.056,9.454861
6,4,Queens,81,QN53,Woodhaven,37001317.08,56674,0.172295,0.072206,0.244501,0.30176,6375156,2671718,9046874,47.14186399,17102,8553,27947,0.150915,0.493118,0.114,0.063,0.755,0.343,0.334,0.162,9.463657
7,3,Brooklyn,47,BK44,Madison,27379161.78,38917,0.17376,0.066028,0.239789,0.343525,4757422,1807808,6565230,46.45291261,13369,4896,15944,0.125806,0.409692,0.075,0.129,0.651,0.398,0.307,0.091,9.712449
8,1,Manhattan,61,MN15,Clinton,18381427.54,45884,0.082031,0.0182,0.100232,0.173175,1507856,334559,1842416,7.29140877,7946,5918,8746,0.128977,0.190611,0.167,0.157,0.868,0.613,0.642,0.036,12.990088
9,4,Queens,81,QN37,Kew Gardens Hills,37894227.2,37479,0.247612,0.153765,0.401377,0.30972,9383081,5826807,15209888,155.4685824,11608,5159,11862,0.13765,0.316497,0.076,0.07,0.755,0.507,0.333,0.064,9.675502
10,4,Queens,81,QN38,Pomonok - Flushing Heights - Hillcrest,38832854.02,34034,0.229763,0.160602,0.390365,0.319533,8922379,6236640,15159019,183.2473409,10875,6829,12915,0.200652,0.379473,0.076,0.07,0.755,0.507,0.333,0.064,9.597715
11,4,Queens,81,QN48,Auburndale,34164217.98,19996,0.209853,0.169153,0.379007,0.320214,7169495,5778988,12948483,289.0072014,6403,1642,7787,0.082116,0.389427,0.054,0.085,0.689,0.641,0.315,0.056,9.393221
12,4,Queens,81,QN62,Queensboro Hill,26553170.25,20800,0.195301,0.22057,0.415871,0.284567,5185865,5856836,11042701,281.5786538,5919,2887,10668,0.138798,0.512884,0.054,0.085,0.689,0.641,0.315,0.056,9.803406
13,4,Queens,81,QN01,South Jamaica,39972230.5,38894,0.172502,0.140695,0.313197,0.341389,6895300,5623902,12519202,144.5956189,13278,9317,18268,0.239548,0.469686,0.07,0.084,0.756,0.402,0.422,0.105,9.787341
14,4,Queens,81,QN61,Jamaica,47307643.17,53751,0.086041,0.066477,0.152519,0.295436,4070438,3144884,7215322,58.50838124,15880,12897,30048,0.239939,0.559022,0.07,0.084,0.756,0.402,0.422,0.105,10.210315
15,4,Queens,81,QN71,Old Astoria,15621248.16,27814,0.12625,0.067393,0.193644,0.261307,1972195,1052778,3024973,37.85065075,7268,5395,11768,0.193967,0.423096,0.102,0.199,0.806,0.523,0.361,0.096,10.127693
16,4,Queens,81,QN76,Baisley Park,44041482.32,34603,0.197044,0.155825,0.35287,0.331734,8678147,6862776,15540924,198.328931,11479,4445,15532,0.128457,0.448862,0.07,0.084,0.756,0.402,0.422,0.105,9.791722
17,4,Queens,81,QN20,Ridgewood,50486248.84,69317,0.137329,0.128559,0.265888,0.283335,6933234,6490486,13423720,93.63483705,19640,14238,38437,0.205404,0.55451,0.068,0.107,0.759,0.494,0.465,0.082,10.530241
18,4,Queens,81,QN21,Middle Village,57691282.15,37929,0.194001,0.259077,0.453079,0.336945,11192180,14946537,26138717,394.0662026,12780,3072,16751,0.080993,0.44164,0.068,0.107,0.759,0.494,0.465,0.082,9.552343
19,2,Bronx,5,BX49,Pelham Parkway,23033594.2,30073,0.222105,0.136236,0.358342,0.307485,5115898,3138012,8253910,104.3464902,9247,4940,13813,0.164266,0.459315,0.148,0.065,0.683,0.318,0.352,0.155,10.340689
20,4,Queens,81,QN68,Queensbridge - Ravenswood - Long Island City,23312820.36,20030,0.12468,0.08417,0.208851,0.301897,2906656,1962260,4868917,97.96605092,6047,6573,10395,0.328157,0.518971,0.102,0.199,0.806,0.523,0.361,0.096,10.999101
